study,window_center,window_width
pancreas_001,67,25
pancreas_004,67,25
pancreas_005,87,30
pancreas_006,67,25
pancreas_010,78,23
pancreas_012,67,25
pancreas_015,103,33
pancreas_016,77,28
pancreas_018,94,32
pancreas_019,111,37
pancreas_021,114,34
pancreas_024,67,25
pancreas_025,67,25
pancreas_028,83,26
pancreas_029,77,25
pancreas_032,118,45
pancreas_035,113,42
pancreas_037,90,30
pancreas_040,114,34
pancreas_041,67,25
pancreas_042,100,33
pancreas_043,110,33
pancreas_045,114,36
pancreas_046,111,36
pancreas_048,117,42
pancreas_049,112,35
pancreas_050,100,37
pancreas_051,67,25
pancreas_052,110,34
pancreas_055,100,32
pancreas_056,97,30
pancreas_058,67,22
pancreas_061,67,25
pancreas_064,80,28
pancreas_066,110,33
pancreas_067,67,25
pancreas_069,90,30
pancreas_070,69,22
pancreas_071,110,37
pancreas_074,112,33
pancreas_075,97,33
pancreas_077,103,33
pancreas_078,103,33
pancreas_080,103,33
pancreas_081,106,33
pancreas_083,110,37
pancreas_084,110,37
pancreas_086,115,37
pancreas_087,79,27
pancreas_088,114,35
pancreas_089,65,23
pancreas_091,65,21
pancreas_092,70,20
pancreas_093,65,23
pancreas_094,85,27
pancreas_095,115,35
pancreas_096,114,39
pancreas_098,114,30
pancreas_099,65,21
pancreas_100,67,25
pancreas_101,107,35
pancreas_102,100,35
pancreas_103,65,22
pancreas_104,65,22
pancreas_105,107,33
pancreas_106,117,35
pancreas_107,65,21
pancreas_109,97,32
pancreas_110,67,25
pancreas_111,115,37
pancreas_113,65,22
pancreas_114,100,37
pancreas_117,107,37
pancreas_119,111,39
pancreas_120,105,39
pancreas_122,100,27
pancreas_124,103,35
pancreas_125,107,35
pancreas_126,104,37
pancreas_127,115,40
pancreas_129,119,35
pancreas_130,105,36
pancreas_131,113,38
pancreas_135,117,39
pancreas_137,108,35
pancreas_138,65,21
pancreas_140,93,30
pancreas_145,91,30
pancreas_147,103,34
pancreas_148,103,34
pancreas_149,107,34
pancreas_155,100,32
pancreas_157,96,31
pancreas_158,127,35
pancreas_159,65,23
pancreas_160,65,23
pancreas_165,65,23
pancreas_166,104,33
pancreas_167,67,25
pancreas_169,89,30
pancreas_170,65,21
pancreas_172,65,21
pancreas_173,65,21
pancreas_175,83,28
pancreas_178,115,41
pancreas_179,67,25
pancreas_180,67,25
pancreas_181,109,37
pancreas_182,87,33
pancreas_183,98,33
pancreas_186,117,33
pancreas_187,103,35
pancreas_191,67,25
pancreas_193,70,25
pancreas_194,67,25
pancreas_196,94,33
pancreas_197,65,23
pancreas_198,120,39
pancreas_199,67,25
pancreas_200,65,21
pancreas_201,67,25
pancreas_203,114,38
pancreas_204,63,18
pancreas_207,94,35
pancreas_209,94,31
pancreas_210,70,23
pancreas_211,65,21
pancreas_212,65,21
pancreas_213,65,21
pancreas_214,107,37
pancreas_215,65,20
pancreas_217,85,32
pancreas_218,67,25
pancreas_219,77,25
pancreas_222,84,30
pancreas_224,65,22
pancreas_225,65,22
pancreas_226,67,23
pancreas_227,93,32
pancreas_228,83,28
pancreas_229,65,22
pancreas_230,95,31
pancreas_231,105,38
pancreas_234,97,32
pancreas_235,70,23
pancreas_236,67,25
pancreas_239,110,43
pancreas_241,108,38
pancreas_242,67,25
pancreas_243,117,39
pancreas_244,114,40
pancreas_246,92,33
pancreas_247,71,25
pancreas_249,65,22
pancreas_253,67,25
pancreas_254,113,39
pancreas_255,67,25
pancreas_256,111,41
pancreas_258,65,22
pancreas_259,80,29
pancreas_261,67,25
pancreas_262,102,30
pancreas_264,90,30
pancreas_265,110,38
pancreas_266,87,30
pancreas_267,67,25
pancreas_268,97,35
pancreas_269,107,35
pancreas_270,84,25
pancreas_274,88,27
pancreas_275,65,22
pancreas_276,101,32
pancreas_277,74,26
pancreas_278,112,37
pancreas_279,107,37
pancreas_280,67,25
pancreas_283,107,33
pancreas_284,101,33
pancreas_285,67,25
pancreas_286,112,39
pancreas_287,107,39
pancreas_289,67,25
pancreas_290,112,40
pancreas_291,112,40
pancreas_292,65,21
pancreas_293,110,35
pancreas_294,100,35
pancreas_295,66,21
pancreas_296,121,35
pancreas_297,114,39
pancreas_298,65,21
pancreas_299,67,25
pancreas_300,94,30
pancreas_301,66,25
pancreas_302,114,40
pancreas_303,91,29
pancreas_304,110,39
pancreas_305,110,36
pancreas_308,110,39
pancreas_309,102,32
pancreas_310,67,22
pancreas_311,67,25
pancreas_312,97,34
pancreas_313,117,40
pancreas_315,111,36
pancreas_316,67,25
pancreas_318,114,39
pancreas_320,84,27
pancreas_321,80,25
pancreas_323,66,23
pancreas_325,66,23
pancreas_326,102,34
pancreas_327,109,33
pancreas_328,66,22
pancreas_329,87,25
pancreas_330,72,27
pancreas_331,90,32
pancreas_333,113,32
pancreas_334,100,32
pancreas_336,113,36
pancreas_339,113,34
pancreas_342,65,21
pancreas_343,109,37
pancreas_344,77,25
pancreas_345,65,21
pancreas_346,97,30
pancreas_347,67,25
pancreas_348,71,27
pancreas_350,103,35
pancreas_351,69,24
pancreas_354,102,32
pancreas_355,68,22
pancreas_356,107,35
pancreas_357,111,33
pancreas_358,91,30
pancreas_360,72,25
pancreas_361,104,33
pancreas_362,66,23
pancreas_364,107,38
pancreas_365,117,37
pancreas_366,117,39
pancreas_367,117,39
pancreas_369,69,21
pancreas_370,107,33
pancreas_372,114,38
pancreas_374,104,38
pancreas_375,111,36
pancreas_376,117,39
pancreas_377,65,21
pancreas_378,100,33
pancreas_379,65,21
pancreas_380,117,37
pancreas_382,105,34
pancreas_385,111,37
pancreas_386,116,37
pancreas_387,122,39
pancreas_388,113,33
pancreas_389,67,25
pancreas_391,102,31
pancreas_392,112,35
pancreas_393,87,29
pancreas_395,72,24
pancreas_398,67,25
pancreas_399,67,25
pancreas_400,112,35
pancreas_401,150,27
pancreas_402,135,25
pancreas_404,117,38
pancreas_405,117,44
pancreas_406,117,44
pancreas_409,104,20
pancreas_410,112,37
pancreas_411,67,25
pancreas_412,107,29
pancreas_413,111,35
pancreas_414,67,25
pancreas_415,122,36
pancreas_416,106,33
pancreas_418,122,40
pancreas_419,110,35
pancreas_421,110,35